epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,1828.87,0.61221,0.97482,1.23414,0.75327,0.73524,0.81544,0.73431,0.66735,0.85479,1.01693,1.43258,0.0089506,0.0089506,0.0089506
108,1845.75,0.62677,0.98101,1.24103,0.76449,0.77554,0.83355,0.7291,0.68781,0.9071,1.05459,1.49941,0.0089407,0.0089407,0.0089407
109,1862.59,0.63183,0.97865,1.24093,0.67869,0.772,0.80617,0.68764,0.64706,0.90702,1.13992,1.47972,0.0089308,0.0089308,0.0089308
110,1879.41,0.65038,1.01459,1.26568,0.8225,0.77422,0.87419,0.78621,0.73677,0.80061,0.89591,1.34056,0.0089209,0.0089209,0.0089209
111,1896.31,0.61049,0.9692,1.23976,0.82374,0.79454,0.86099,0.76292,0.70431,0.85281,0.89343,1.40522,0.008911,0.008911,0.008911
112,1913.18,0.6406,0.98605,1.26789,0.86891,0.69537,0.8094,0.70703,0.65899,0.87445,0.99187,1.45832,0.0089011,0.0089011,0.0089011
113,1929.95,0.61953,0.93415,1.22826,0.78978,0.78616,0.82084,0.69548,0.66321,0.90658,0.92618,1.47191,0.0088912,0.0088912,0.0088912
114,1947.03,0.63211,0.94573,1.24959,0.79998,0.82058,0.87823,0.7635,0.71376,0.8708,0.88595,1.41436,0.0088813,0.0088813,0.0088813
115,1963.87,0.6227,0.96825,1.24076,0.81703,0.78153,0.84589,0.72613,0.68607,0.85482,0.91606,1.41505,0.0088714,0.0088714,0.0088714
116,1980.59,0.61088,0.96265,1.22744,0.78439,0.78749,0.85179,0.74928,0.7017,0.82023,0.93315,1.37701,0.0088615,0.0088615,0.0088615
117,1997.41,0.60469,0.90529,1.22514,0.77633,0.79805,0.87467,0.7701,0.71075,0.89301,0.97654,1.45153,0.0088516,0.0088516,0.0088516
118,2014.17,0.61483,0.94403,1.23966,0.81615,0.79104,0.83802,0.7102,0.67563,0.91245,1.03151,1.48031,0.0088417,0.0088417,0.0088417
119,2031.38,0.61514,0.94029,1.23826,0.68643,0.78627,0.79361,0.68224,0.64713,0.91157,1.13616,1.48446,0.0088318,0.0088318,0.0088318
120,2048.13,0.60279,0.91385,1.2196,0.80789,0.7754,0.84033,0.73286,0.69278,0.86261,0.97931,1.40396,0.0088219,0.0088219,0.0088219
